Name,Financial Year,Month,All India Total ,All India Public ,All India Private,All India Urban ,All India Rural,A & N IslandsTotal ,A & N Islands Public [A],A & N Islands Private [B],A & N Islands Urban [C],A & N Islands Rural [D],Andhra Pradesh Total [(A+B) or (C+D)],Andhra Pradesh Public [A],Andhra Pradesh Private [B],Andhra Pradesh Urban [C],Andhra Pradesh Rural [D],Arunachal Pradesh Total [(A+B) or (C+D)],Arunachal Pradesh Public [A],Arunachal PradeshPrivate [B],Arunachal Pradesh Urban [C],Arunachal Pradesh Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
Number of blood units issued,2019-2020,march,215366,197731,17635,39828,175538,319,319,,0,319,9150,9150,0,1616,7534,322,322,0,0,322,2124,2093,31,27,2097,2936,2673,263,7,2929,2492,2492,,8,2484,2359,2187,172,44,2315,19,19,,0,19,6,6,0,0,6,22515,16266,6249,972,21543,45,45,0,0,45,10627,10533,94,292,10335,3526,3526,0,7,3519,1282,1282,0,0,1282,1865,1808,57,57,1808,1234,1002,232,72,1162,11648,8589,3059,2612,9036,7547,4460,3087,412,7135,13,13,,,13,,,,,,,,,,,7147,4564,2583,1593,5554,15468,15468,0,1040,14428,349,162,187,186,163,852,782,70,,852,2315,2312,3,0,2315,247,145,102,102,145,17914,17134,780,397,17517,163,106,57,57,106,3526,3526,0,1146,2380,22269,22251,18,14693,7576,7,7,,,7,16553,16553,,3662,12891,2436,2436,0,1194,1242,1997,1790,207,76,1921,20485,20457,28,2,20483,1578,1574,4,811,767,22031,21679,352,8743,13288
Number of blood transfusions done,2019-2020,march,158232,143748,14484,25838,132394,319,319,,0,319,8127,8127,0,1036,7091,361,334,27,0,361,2078,2054,24,22,2056,2179,1939,240,7,2172,5283,5283,,8,5275,2400,2221,179,44,2356,19,19,,0,19,6,6,0,0,6,8839,5797,3042,1100,7739,45,45,0,0,45,10225,10121,104,401,9824,1526,1526,0,9,1517,1282,1282,0,0,1282,1778,1768,10,10,1768,1309,1157,152,58,1251,9417,6456,2961,2529,6888,7778,4561,3217,552,7226,13,13,,,13,,,,,,,,,,,6657,4115,2542,1617,5040,11577,11577,0,984,10593,536,162,374,373,163,282,202,80,,282,2186,2183,3,0,2186,288,157,131,131,157,13343,12485,858,403,12940,158,106,52,52,106,2107,2078,29,809,1298,14368,14338,30,7976,6392,7,7,,,7,17093,17093,,3159,13934,2294,2294,0,1178,1116,1645,1438,207,80,1565,14507,14479,28,10,14497,999,994,5,391,608,7201,7012,189,2899,4302
Inpatient Deaths - Male,2019-2020,march,26745,23949,2796,4141,22604,49,49,,0,49,1833,1833,0,128,1705,14,14,0,0,14,559,511,48,13,546,867,862,5,3,864,415,415,,0,415,612,537,75,73,539,50,50,,0,50,6,6,0,0,6,1505,855,650,105,1400,23,22,1,0,23,852,829,23,69,783,151,151,0,3,148,184,183,1,0,184,65,65,0,0,65,193,130,63,59,134,2190,1814,376,259,1931,1321,558,763,137,1184,4,4,,,4,,,,,,,,,,,1305,1000,305,262,1043,1805,1728,77,349,1456,41,15,26,26,15,204,149,55,,204,88,63,25,15,73,68,28,40,38,30,1255,1068,187,2,1253,18,17,1,1,17,152,152,0,17,135,1529,1529,0,1155,374,9,9,,,9,2402,2402,,189,2213,841,841,0,84,757,271,253,18,7,264,1169,1167,2,10,1159,59,59,,15,44,4636,4581,55,1122,3514
Inpatient Deaths - Female,2019-2020,march,17829,16114,1715,3240,14589,19,19,,0,19,1267,1267,0,71,1196,10,8,2,0,10,423,407,16,6,417,592,590,2,4,588,251,251,,1,250,407,369,38,37,370,13,13,,0,13,8,8,0,0,8,953,580,373,64,889,11,11,0,0,11,661,646,15,69,592,73,73,0,4,69,90,89,1,0,90,59,59,0,0,59,139,103,36,32,107,1263,1074,189,229,1034,866,334,532,99,767,6,6,,,6,,,,,,,,,,,950,737,213,184,766,1033,966,67,220,813,18,7,11,11,7,125,75,50,,125,50,32,18,13,37,37,18,19,18,19,968,858,110,3,965,15,14,1,2,13,72,72,0,10,62,933,933,0,723,210,15,15,,,15,1789,1789,,610,1179,524,524,0,44,480,189,186,3,1,188,778,775,3,8,770,24,24,,4,20,3198,3182,16,773,2425
In-Patient Head Count at midnight,2019-2020,march,8357143,7712172,644971,1347615,7009528,10681,10681,,0,10681,532195,532195,0,88723,443472,4875,2296,2579,0,4875,104701,100468,4233,399,104302,230804,230519,285,12922,217882,82366,82366,,2365,80001,91950,89670,2280,936,91014,18702,18702,,0,18702,3851,3851,0,0,3851,345003,237292,107711,26132,318871,13738,13738,0,0,13738,117015,116184,831,12024,104991,102753,102753,0,396,102357,75270,74871,399,0,75270,60948,60751,197,294,60654,66276,57342,8934,6206,60070,744022,611936,132086,132738,611284,583481,294847,288634,63459,520022,990,990,,,990,,,,,,,,,,,531226,486532,44694,65799,465427,585271,584910,361,121753,463518,10728,5539,5189,5120,5608,68146,53883,14263,0,68146,26103,22960,3143,1814,24289,9658,5831,3827,3562,6096,337256,329393,7863,1883,335373,16768,16768,0,681,16087,136216,136070,146,17977,118239,492704,491210,1494,167578,325126,5313,5313,,,5313,1172351,1172169,182,246768,925583,153565,153565,0,51622,101943,84096,81891,2205,3434,80662,413361,408633,4728,506,412855,22992,22992,,6798,16194,1101768,1093061,8707,305726,796042
Number of Admission in NBSU ( New Born Stabilisation Unit),2019-2020,march,52394,49113,3281,13899,38495,104,104,,0,104,2111,2111,0,1391,720,3,3,,0,3,541,488,53,5,536,2354,2243,111,71,2283,199,199,,199,0,1212,1212,0,8,1204,416,416,,0,416,98,98,0,0,98,715,374,341,301,414,36,36,0,0,36,2554,2478,76,359,2195,1179,1179,0,6,1173,618,618,0,0,618,1061,1061,0,10,1051,297,226,71,17,280,4576,3176,1400,1532,3044,3028,2011,1017,164,2864,1,1,,,1,,,,,,,,,,,2121,2094,27,611,1510,3638,3638,0,1015,2623,41,32,9,9,32,227,51,176,,227,22,22,0,0,22,42,42,0,0,42,540,540,0,0,540,24,24,0,0,24,495,495,0,87,408,3362,3362,0,1319,2043,11,11,,,11,5282,5282,,4661,621,2732,2732,0,1790,942,189,189,,4,185,10114,10114,0,2,10112,397,397,,48,349,2054,2054,0,290,1764
Special Newborn Care Unit (SNCU Admissions) - Inborn Male,2019-2020,march,34133,32698,1435,4344,29789,53,53,,,53,1414,1414,0,211,1203,13,10,3,,13,1473,1457,16,0,1473,603,581,22,0,603,47,47,,1,46,627,624,3,0,627,69,69,,,69,47,47,0,0,47,1798,1606,192,208,1590,29,29,0,,29,1177,1103,74,50,1127,781,781,0,0,781,333,333,0,0,333,816,813,3,3,813,202,195,7,2,200,2384,2325,59,153,2231,1759,1028,731,109,1650,0,0,,,0,,,,,,,,,,,2130,2128,2,158,1972,2984,2984,0,248,2736,22,7,15,15,7,165,102,63,,165,42,37,5,5,37,37,25,12,12,25,1571,1474,97,0,1571,39,39,0,0,39,602,602,0,6,596,2391,2391,0,1079,1312,4,4,,,4,3093,3093,,418,2675,1387,1387,0,644,743,119,119,,0,119,2639,2544,95,37,2602,124,124,,24,100,3159,3123,36,961,2198
Special Newborn Care Unit (SNCU Admissions) - Inborn Female,2019-2020,march,25192,24204,988,3170,22022,50,50,,,50,1181,1181,0,185,996,12,4,8,,12,1058,1042,16,0,1058,316,309,7,0,316,39,39,,1,38,598,596,2,0,598,68,68,,,68,42,42,0,0,42,857,714,143,142,715,22,22,0,,22,1013,971,42,40,973,558,558,0,0,558,216,216,0,0,216,599,594,5,5,594,144,132,12,5,139,1879,1833,46,141,1738,1328,846,482,103,1225,0,0,,,0,,,,,,,,,,,1472,1470,2,126,1346,2470,2470,0,191,2279,27,14,13,13,14,123,77,46,,123,36,33,3,3,33,19,15,4,4,15,1134,1053,81,0,1134,33,33,0,0,33,431,431,0,7,424,1713,1713,0,819,894,2,2,,,2,2492,2492,,331,2161,963,963,0,303,660,88,88,,0,88,1755,1700,55,25,1730,101,101,,16,85,2353,2332,21,710,1643
Outborn – Male,2019-2020,march,20388,19923,465,2410,17978,3,3,,,3,714,714,0,44,670,14,12,2,,14,728,725,3,0,728,891,839,52,0,891,14,14,,1,13,516,499,17,0,516,59,59,,,59,6,6,0,0,6,267,209,58,24,243,9,9,0,,9,676,665,11,16,660,477,477,0,0,477,100,100,0,0,100,776,776,0,0,776,142,141,1,1,141,1018,962,56,79,939,283,146,137,22,261,3,3,,,3,,,,,,,,,,,2433,2430,3,131,2302,1049,1049,0,57,992,19,3,16,16,3,57,15,42,,57,37,37,0,0,37,28,13,15,15,13,1639,1623,16,183,1456,14,14,0,0,14,180,180,0,0,180,1528,1528,0,794,734,1,1,,,1,1063,1063,,225,838,423,423,0,30,393,65,65,,0,65,2934,2899,35,35,2899,68,68,,9,59,2154,2153,1,728,1426
Outborn - Female,2019-2020,march,13807,13474,333,1639,12168,4,4,,,4,556,556,0,27,529,10,5,5,,10,410,410,0,0,410,505,480,25,0,505,6,6,,0,6,369,358,11,0,369,45,45,,,45,3,3,0,0,3,152,136,16,8,144,6,6,0,,6,586,585,1,15,571,345,345,0,0,345,88,88,0,0,88,497,497,0,0,497,102,100,2,0,102,800,748,52,70,730,251,131,120,23,228,7,7,,,7,,,,,,,,,,,1472,1470,2,74,1398,878,878,0,68,810,23,6,17,17,6,46,8,38,,46,24,24,0,0,24,11,2,9,9,2,1057,1047,10,121,936,5,5,0,0,5,120,120,0,0,120,917,917,0,462,455,2,2,,,2,868,868,,188,680,340,340,0,34,306,57,57,,0,57,1716,1691,25,25,1691,50,50,,9,41,1479,1479,0,489,990
Number of newborns admitted in SNCU - referred by ASHA,2019-2020,march,4479,4395,84,138,4341,0,0,,,0,120,120,0,4,116,0,0,,,0,185,185,0,0,185,164,164,0,0,164,0,0,,0,0,146,146,0,0,146,0,0,,,0,0,0,0,0,0,4,3,1,1,3,0,0,0,,0,179,127,52,4,175,131,131,0,0,131,0,0,0,0,0,74,74,0,0,74,66,66,0,0,66,209,209,0,0,209,10,6,4,0,10,0,0,,,0,,,,,,,,,,,530,530,0,9,521,207,207,0,0,207,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,700,679,21,9,691,0,0,0,0,0,26,26,0,0,26,104,104,0,20,84,0,0,,,0,87,87,,56,31,49,49,0,11,38,10,10,,0,10,1310,1304,6,0,1310,0,0,,0,0,168,168,0,24,144
Number of deaths occurring at SNCU,2019-2020,march,5994,5913,81,811,5183,5,5,,,5,258,258,0,0,258,1,1,,,1,277,276,1,0,277,265,229,36,0,265,2,2,,0,2,235,235,0,0,235,13,13,,,13,2,2,0,0,2,109,101,8,8,101,0,0,0,,0,320,318,2,0,320,46,46,0,0,46,31,31,0,0,31,85,85,0,0,85,31,29,2,0,31,307,305,2,2,305,34,33,1,0,34,0,0,,,0,,,,,,,,,,,774,774,0,46,728,365,365,0,18,347,6,6,0,0,6,30,18,12,,30,7,7,0,0,7,4,2,2,2,2,408,399,9,58,350,3,3,0,0,3,22,22,0,0,22,571,571,0,430,141,0,0,,,0,451,451,,20,431,102,102,0,4,98,20,20,,0,20,452,447,5,0,452,27,27,,0,27,731,730,1,223,508
Number of children admitted in NRC,2019-2020,march,9336,9316,20,987,8349,0,0,,0,0,320,320,0,27,293,1,1,,0,1,118,117,1,0,118,470,470,0,15,455,5,5,,,5,785,785,0,0,785,1,1,,0,1,1,1,0,0,1,36,30,6,6,30,0,0,0,0,0,678,678,0,89,589,144,144,0,0,144,6,6,0,0,6,84,84,0,0,84,356,356,0,0,356,902,902,0,172,730,10,10,0,0,10,0,0,,,0,,,,,,,,,,,2690,2677,13,484,2206,388,388,0,42,346,0,0,,,0,28,28,,,28,0,0,0,0,0,1,1,,,1,631,631,0,36,595,0,0,0,0,0,0,0,0,0,0,308,308,0,99,209,0,0,,,0,166,166,,0,166,168,168,0,1,167,2,2,,0,2,813,813,0,0,813,0,0,,0,0,224,224,0,16,208
Number of children discharged with target weight gain from the NRCs,2019-2020,march,7370,7367,3,644,6726,0,0,,0,0,182,182,0,8,174,1,1,,0,1,124,124,0,0,124,518,518,0,7,511,5,5,,,5,842,842,0,0,842,0,0,,0,0,0,0,0,0,0,13,13,0,0,13,0,0,0,0,0,375,375,0,41,334,92,92,0,0,92,5,5,0,0,5,95,95,0,0,95,305,305,0,0,305,600,600,0,20,580,27,27,0,0,27,0,0,,,0,,,,,,,,,,,1622,1619,3,304,1318,287,287,0,34,253,0,0,,,0,10,10,,,10,0,0,0,0,0,2,2,,,2,777,777,,45,732,0,0,0,0,0,0,0,0,0,0,334,334,0,168,166,0,0,,,0,123,123,,3,120,114,114,0,1,113,1,1,,0,1,657,657,0,0,657,0,0,,0,0,259,259,0,13,246
Number of Rogi Kalyan Samiti (RKS) meetings held,2019-2020,march,8676,8665,11,1080,7596,3,3,,0,3,390,390,0,25,365,33,33,,1,32,359,351,8,24,335,118,118,0,18,100,0,0,,0,0,127,127,0,5,122,0,0,,0,0,0,0,0,0,0,2,2,0,2,0,13,13,0,1,12,386,386,0,129,257,134,134,0,28,106,12,12,0,0,12,155,155,0,0,155,11,10,1,0,11,391,391,0,49,342,190,189,1,6,184,4,4,,,4,,,,,,,,,,,91,91,0,10,81,315,315,0,95,220,26,26,,0,26,15,15,,,15,8,8,0,0,8,55,55,0,4,51,452,452,0,19,433,28,28,0,12,16,37,37,0,5,32,706,706,0,115,591,7,7,,,7,1982,1982,,237,1745,3,3,0,1,2,18,18,0,2,16,2411,2410,1,263,2148,20,20,,2,18,174,174,0,27,147
Number of Anganwadi centres/ UPHCs reported to have conducted Village Health & Nutrition Day (VHNDs)/ Urban Health & Nutrition Day (UHNDs)/ Outreach / Special Outreach,2019-2020,march,633725,633202,523,46432,587293,191,191,,0,191,42993,42993,,580,42413,1015,1015,,58,957,23798,23275,523,844,22954,74926,74926,,7603,67323,2,2,,2,,25420,25420,0,1903,23517,80,80,,15,65,40,40,,5,35,397,397,0,393,4,406,406,0,15,391,12734,12734,0,4035,8699,9696,9696,,844,8852,7137,7137,,16,7121,6642,6642,,304,6338,17842,17842,0,449,17393,19263,19263,,1307,17956,17652,17652,,1057,16595,0,0,,,0,,,,,,,,,,,64274,64274,,5593,58681,37299,37299,,2347,34952,1554,1554,,31,1523,4259,4259,0,55,4204,687,687,,248,439,1013,1013,0,92,921,49779,49779,,2346,47433,238,238,,71,167,10575,10575,,840,9735,4581,4581,,979,3602,730,730,,12,718,30169,30169,,296,29873,26369,26369,,1983,24386,4027,4027,,138,3889,83716,83716,,8174,75542,6134,6134,,586,5548,48087,48087,,3211,44876
Stock out rate of essential Drugs,2019-2020,march,9321,9321,0,0,9321,94,94,,,94,232,232,,,232,110,110,,,110,232,232,,,232,574,574,0,,574,4,4,,,4,34,34,,,34,2,2,,,2,0,0,,,0,294,294,0,,294,,,,,,111,111,0,0,111,985,985,,,985,0,0,,,0,408,408,,,408,110,110,,,110,0,0,0,,0,115,115,,,115,0,0,,,0,,,,,,,,,,,729,729,,,729,170,170,0,,170,0,0,,,0,0,0,,,0,29,29,,,29,0,0,,,0,81,81,,,81,0,0,,,0,684,684,,,684,226,226,,,226,0,0,,,0,9,9,,,9,21,21,,,21,313,313,,,313,3332,3332,,,3332,280,280,,,280,142,142,,,142
Blood Units Issued on replacement (Family Donors to be considered as replacement donations),2019-2020,march,58653,56573,2080,17,58636,0,0,,,0,2010,2010,,,2010,154,154,,,154,4792,4792,,,4792,2103,2103,0,,2103,1709,1709,,,1709,2654,2654,,,2654,128,128,,,128,28,28,,,28,5078,3653,1425,,5078,6,6,,,6,748,236,512,17,731,73,73,,,73,226,226,,,226,1052,1052,,,1052,2545,2545,,,2545,1566,1455,111,,1566,595,595,,,595,0,0,,,0,,,,,,,,,,,5948,5948,,,5948,16,16,0,,16,127,127,,,127,364,332,32,,364,191,191,,,191,188,188,,,188,5537,5537,,,5537,22,22,,,22,179,179,,,179,4147,4147,,,4147,11,11,,,11,1,1,,,1,110,110,,,110,1027,1027,,,1027,11425,11425,,,11425,51,51,,,51,3842,3842,,,3842
Total number of blood units issued in year,2019-2020,march,391815,386017,5798,616,391199,316,316,,,316,25180,25180,,,25180,133,133,,,133,8556,8556,,,8556,6375,6112,263,,6375,10207,10207,,,10207,5774,5774,,,5774,19,19,,,19,151,151,,,151,15725,12405,3320,,15725,196,196,,,196,40747,39269,1478,616,40131,7451,7451,,,7451,2111,2111,,,2111,3413,3413,,,3413,3668,3668,,,3668,20138,19503,635,,20138,4805,4805,,,4805,0,0,,,0,,,,,,,,,,,17238,17238,,,17238,22235,22235,0,,22235,162,162,,,162,469,367,102,,469,3284,3284,,,3284,824,824,0,,824,18940,18940,,,18940,196,196,,,196,7769,7769,,,7769,10860,10860,,,10860,112,112,,,112,7818,7818,,,7818,1738,1738,,,1738,2446,2446,,,2446,94602,94602,,,94602,1118,1118,,,1118,47039,47039,,,47039
Patient Satisfaction Score of the facility in percentage (from Mera Aspatal),2019-2020,march,20248,20248,0,82,20166,0,0,,,0,1115,1115,,,1115,0,0,,,0,172,172,,,172,586,586,0,,586,67,67,,,67,301,301,,,301,78,78,,,78,146,146,,,146,1156,1156,0,,1156,54,54,,,54,1199,1199,0,82,1117,1194,1194,,,1194,471,471,,,471,568,568,,,568,1121,1121,,,1121,1690,1690,0,,1690,876,876,,,876,0,0,,,0,,,,,,,,,,,127,127,,,127,982,982,0,,982,0,0,,,0,,,,,,80,80,,,80,,,,,,1293,1293,,,1293,75,75,,,75,303,303,,,303,212,212,,,212,0,0,,,0,1699,1699,,,1699,0,0,,,0,70,70,,,70,4276,4276,,,4276,337,337,,,337,0,0,,,0
Number of Lab Tests done,2019-2020,march,60432253,56856228,3576025,12272572,48159681,63098,63098,,1417,61681,2603066,2603066,0,637711,1965355,21504,19009,2495,322,21182,1119100,1065348,53752,42088,1077012,655292,651367,3925,45694,609598,1044404,1044404,,89254,955150,709879,668637,41242,68147,641732,93187,93187,,0,93187,18146,18146,0,820,17326,3731489,2571009,1160480,497300,3234189,163670,163670,0,4192,159478,3817991,3758566,59425,530735,3287256,1380561,1380561,0,121421,1259140,428799,423502,5297,179,428620,1352763,1337889,14874,41163,1311600,598261,248273,349988,342434,255827,3693809,3258434,435375,846530,2847279,3822705,3055949,766756,668009,3154696,13890,13890,,,13890,,,,,,,,,,,2041980,1748962,293018,515577,1526403,3561913,3558523,3390,1170046,2391867,62874,41168,21706,21002,41872,170097,105448,64649,1682,168415,116103,107519,8584,8792,107311,59567,27276,32291,32396,27171,1890253,1725862,164391,104843,1785410,93418,86446,6972,17158,76260,1730189,1729468,721,300953,1429236,4200625,4192464,8161,1704742,2495883,18858,18858,,,18858,10448660,10448660,,2931892,7516768,1026649,1024627,2022,356228,670421,131404,112569,18835,10593,120811,6677357,6670438,6919,224838,6452519,199616,199190,426,77086,122530,2671076,2620745,50331,857328,1813748
Number of Hb tests conducted,2019-2020,march,8704030,8090672,613358,1447943,7256087,4943,4943,,366,4577,317602,317602,0,72188,245414,5775,3043,2732,92,5683,184441,172789,11652,8352,176089,183694,180784,2910,14264,169430,61940,61940,,8328,53612,246743,234895,11848,27818,218925,14323,14323,,0,14323,5907,5907,0,236,5671,357874,258540,99334,68411,289463,15432,15431,1,63,15369,685823,674795,11028,70774,615049,221206,221206,0,30632,190574,51466,50984,482,49,51417,141916,139974,1942,4512,137404,116887,95331,21556,20377,96510,488304,387889,100415,138622,349682,484822,254856,229966,66333,418489,3000,3000,,,3000,,,,,,,,,,,560108,508189,51919,122328,437780,774543,773494,1049,165760,608783,4510,3469,1041,499,4011,29667,21457,8210,327,29340,11648,8695,2953,3009,8639,9228,3795,5433,5384,3844,435597,405452,30145,24193,411404,10528,10113,415,1696,8832,203334,202700,634,24539,178795,478229,473296,4933,85677,392552,2632,2632,,,2632,831796,831796,,250837,580959,198672,198287,385,63065,135607,16747,14975,1772,1523,15224,1035340,1031500,3840,65913,969427,33409,33048,361,10770,22639,475944,469542,6402,91006,384938
"Out of the total number of Hb tests done, Number having Hb < 7 mg",2019-2020,march,236506,224608,11898,40350,196156,130,130,,12,118,12589,12589,0,2520,10069,105,79,26,0,105,2837,2439,398,274,2563,3886,3788,98,250,3636,3764,3764,,61,3703,5297,4983,314,238,5059,196,196,,0,196,50,50,0,0,50,11385,10089,1296,1071,10314,463,463,0,2,461,15612,15094,518,1703,13909,8031,8031,0,680,7351,572,571,1,0,572,6058,5939,119,158,5900,2430,1814,616,518,1912,13953,11653,2300,3104,10849,3895,1592,2303,797,3098,18,18,,,18,,,,,,,,,,,16734,14768,1966,2955,13779,19645,19625,20,3167,16478,89,27,62,61,28,702,460,242,4,698,226,167,59,27,199,199,60,139,138,61,12217,11304,913,555,11662,412,393,19,71,341,4895,4883,12,530,4365,13229,13205,24,3152,10077,51,51,,,51,25254,25254,,11643,13611,7425,7396,29,2178,5247,962,895,67,81,881,34723,34573,150,2038,32685,1219,1219,0,425,794,7253,7046,207,1937,5316
Male HIV - Number Tested,2019-2020,march,813414,758148,55266,186254,627160,918,918,,15,903,28560,28560,0,7625,20935,766,466,300,2,764,7622,7098,524,536,7086,23732,22744,988,815,22917,2612,2612,,835,1777,14281,8841,5440,5642,8639,1182,1182,,0,1182,463,463,0,13,450,18590,11100,7490,4020,14570,1254,1254,0,34,1220,52873,51172,1701,13812,39061,16410,16376,34,319,16091,5947,5865,82,8,5939,7371,7119,252,478,6893,10577,9565,1012,1190,9387,82852,71847,11005,18905,63947,29272,14198,15074,5419,23853,128,128,,,128,,,,,,,,,,,26557,22486,4071,7781,18776,110619,110374,245,40665,69954,1969,1451,518,470,1499,1421,740,681,15,1406,1671,1331,340,270,1401,2810,2136,674,611,2199,36816,33669,3147,1235,35581,2467,2456,11,1648,819,28278,27749,529,5217,23061,39909,39871,38,17306,22603,913,913,,119,794,112447,112447,,33645,78802,20896,20857,39,6538,14358,3461,3054,407,357,3104,74952,74936,16,2748,72204,3101,3083,18,1176,1925,39717,39087,630,6785,32932
Male HIV - Number Positive,2019-2020,march,6585,6358,227,1244,5341,2,2,,0,2,553,553,0,186,367,1,1,0,0,1,236,236,0,3,233,297,286,11,7,290,20,20,,5,15,81,81,0,8,73,7,7,,0,7,4,4,0,0,4,157,125,32,22,135,3,3,0,0,3,413,403,10,73,340,220,220,0,10,210,18,18,0,0,18,31,31,0,0,31,48,48,0,0,48,655,632,23,97,558,95,23,72,2,93,0,0,,,0,,,,,,,,,,,163,151,12,30,133,713,713,0,217,496,17,17,0,0,17,30,19,11,0,30,92,77,15,17,75,79,55,24,19,60,150,136,14,11,139,10,10,0,7,3,546,546,0,60,486,236,236,0,88,148,1,1,,0,1,228,228,,73,155,415,413,2,146,269,34,33,1,3,31,757,757,0,83,674,22,22,0,7,15,251,251,0,70,181
Female Non ANC HIV - Number Tested,2019-2020,march,715224,673696,41528,156830,558394,627,627,,28,599,29833,29833,0,9907,19926,855,469,386,2,853,7204,6592,612,659,6545,39541,37865,1676,3189,36352,1988,1988,,503,1485,13791,11691,2100,2254,11537,1094,1094,,0,1094,343,343,0,12,331,13503,9111,4392,3031,10472,969,969,0,9,960,46468,44936,1532,12642,33826,14339,14235,104,542,13797,5008,4938,70,10,4998,5440,5197,243,363,5077,11221,10015,1206,1371,9850,75875,67426,8449,15866,60009,23020,11289,11731,4382,18638,157,157,,,157,,,,,,,,,,,30796,27864,2932,7378,23418,95768,95509,259,29987,65781,1229,829,400,341,888,1960,1005,955,24,1936,1207,1055,152,243,964,1880,1375,505,425,1455,17587,15513,2074,591,16996,1855,1821,34,1266,589,17179,16795,384,3029,14150,30937,30884,53,11916,19021,576,576,,8,568,89106,89106,,27133,61973,21369,21291,78,7112,14257,2341,2175,166,310,2031,76101,75746,355,4200,71901,3388,3352,36,1827,1561,30669,30025,644,6270,24399
Female Non ANC HIV - Number Positive,2019-2020,march,4842,4721,121,894,3948,1,1,,0,1,456,456,0,147,309,1,1,0,0,1,221,221,0,0,221,168,160,8,3,165,8,8,,1,7,45,45,0,2,43,2,2,,0,2,1,1,0,0,1,94,53,41,40,54,2,2,0,0,2,258,253,5,23,235,81,81,0,1,80,11,11,0,0,11,1,1,0,0,1,30,30,0,0,30,841,822,19,76,765,14,14,0,2,12,0,0,,,0,,,,,,,,,,,96,87,9,17,79,486,486,0,145,341,8,7,1,0,8,33,18,15,0,33,33,27,6,5,28,57,44,13,10,47,56,55,1,1,55,6,6,0,6,0,173,172,1,92,81,161,161,0,46,115,0,0,,0,0,132,132,,49,83,415,413,2,109,306,13,13,0,1,12,788,788,0,75,713,8,8,0,5,3,142,142,0,38,104
